Rk,Team,,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,Kentucky,SEC,34,32–2,119.7,88.5,0.9702,53.4,41.6,17.2,18.1,38.4,31,40,25.6,52.5,38.8,37.1,32.1,27.3,30,66.1,11.3
2,Ohio St.,B10,34,27–7,115.5,85.5,0.9695,52.5,46.3,17.4,22.5,35.7,24.9,37,28.6,53.8,45.3,32.6,32.2,26.1,35.5,68.1,7.7
3,Kansas,B12,33,27–6,114.7,88.1,0.9542,54,43.9,19.6,20.7,34.9,28.6,41.1,34.3,54.1,40,35.8,34.7,30.5,32.2,67.9,8.2
4,Michigan St.,B10,34,27–7,112.7,86.7,0.9532,52.7,43,19.8,19.7,37.2,27.5,39,34.2,51.9,42.6,36.5,29.2,27.8,35.6,66.1,8.6
5,North Carolina,ACC,34,29–5,115.8,89.6,0.9502,50,45.1,16.2,18.5,40.5,27.7,38.1,22,49.6,43.5,34,31.9,22.9,35.9,72.7,8.3
6,Missouri,B12,34,30–4,124,96.6,0.9462,57.8,49.7,15.4,21.6,30.6,31.9,37.7,27.2,56.9,47.6,39.5,36.2,37.5,30.8,66.7,8.7
7,Syracuse,BE,33,31–2,115.4,90.1,0.9449,51.9,44,16,25.2,36.6,39.3,31.8,29.8,52,42.9,34.5,30.6,31.3,36.1,66.2,10.8
8,Wisconsin,B10,33,24–9,110.6,87.4,0.9379,49.7,41.8,15.1,18.5,30.4,28.1,31.1,29.9,46.6,41.3,36.1,28.9,40.4,24,58.8,4.8
9,Wichita St.,MVC,31,26–5,115.9,92.6,0.9297,54.2,44.7,17.9,18.7,33.5,26.3,35.2,33.4,53.5,43.5,37,31.4,33.1,32.4,66.8,4.4
10,Saint Louis,A10,31,24–7,111,89.6,0.9219,52.1,44.9,17.8,23.4,31.9,29.4,35.1,37.4,50.2,43.8,36.9,32.1,36.3,25.6,62.4,2.8
11,Indiana,B10,33,25–8,119.1,96.5,0.9184,54.7,47.7,19.1,20.3,35.5,31.2,46.6,34.2,50.8,45.5,43.3,34.9,27.7,31.7,67.8,5.7
12,Georgetown,BE,30,22–8,110.3,89.5,0.9166,51,42.9,19.6,20.1,35.9,30.3,39.4,36.1,50.8,44.3,34.3,26.6,30.1,32.5,63.4,4.6
13,Duke,ACC,33,27–6,117.1,95.3,0.915,53,47.1,17.7,18.8,34.7,32.2,45.3,31.9,50.9,47,37.6,31.7,38.4,23.9,68.3,8
14,Florida,SEC,33,23–10,120.5,98.1,0.9142,54.7,49,16.6,19.7,33.8,31,33,30.7,51.7,46.9,39,35.6,44.4,31.8,65.6,3
15,Vanderbilt,SEC,34,24–10,113.9,92.7,0.9142,54,46.6,19.8,19.2,32.1,32,39.6,29.1,50.8,46.9,38.9,30.7,41.3,31.4,65.9,4
16,Memphis,CUSA,34,26–8,112.6,92.1,0.9095,54.4,43.3,18.7,20.5,31.4,32.9,41.6,38.3,54,41.8,36.9,31,26.9,31.1,68.4,3
17,Baylor,B12,33,26–7,114.4,93.6,0.909,52.6,47.2,20.6,21.3,37.6,32.9,36.5,31.7,50.8,45.5,37.7,33.9,31.9,33,66.7,7
18,New Mexico,MWC,32,26–6,109.1,89.9,0.9034,52.9,44.1,20,21.4,34,27.3,39.3,32,50.1,42.8,38.5,30.9,36.9,36.5,66.8,2.9
19,Florida St.,ACC,33,24–9,106.5,88.1,0.8985,51.4,43.7,23.7,22.2,35.7,33,35.2,34.3,50.7,42.5,35.3,30.5,31.6,36.9,67.7,4.3
20,Louisville,BE,35,26–9,103.7,85.9,0.8975,47.6,42.9,21.4,23.2,36.2,34.3,37,34.8,48.1,41.3,31.1,30.8,33.2,32,67.5,5.5
21,Marquette,BE,32,25–7,110.9,91.9,0.8963,50.8,45.8,18.8,23.6,34.4,36.2,41.5,31.1,51,44.7,33.7,32.1,29.2,32.3,71.1,6.1
22,Michigan,B10,32,23–9,113.4,95,0.8851,53.6,48.8,17.6,20.1,28.1,30.9,28.9,30,54.2,46.9,35.3,35,44.2,33.1,61.8,6.2
23,California,P12,33,24–9,109.8,92,0.8839,52.1,46.1,18.4,19.5,32.1,27.3,34.5,27,51.2,44.7,36.8,32.8,22.9,29.9,66.8,1.8
24,Alabama,SEC,32,21–11,105,88.1,0.8829,49,43.4,20.4,21.4,33.9,31.9,36.5,38.6,51.4,43.9,28.5,28.3,27.1,32.9,63.1,1.6
25,Virginia,ACC,31,22–9,104.3,87.6,0.8813,50.9,44.3,18.6,21.1,27.9,25.4,35.8,31.1,51.1,44.3,33.7,29.5,29.5,32,60.4,2
26,UNLV,MWC,32,24–8,109.3,92.3,0.8753,53.2,46.1,19.5,21,32.6,30.2,35.8,33.4,51.6,44.4,37.3,33.1,38.5,33,69.9,2.8
27,Kansas St.,B12,31,21–10,107.9,91.5,0.8695,49.3,45.8,21.3,23.8,40.8,33.7,42.9,41.6,48.5,44.9,34.2,31.8,29.7,31.3,67.5,2.1
28,Cincinnati,BE,34,24–10,108.7,92.2,0.8694,48,46.1,16.4,21.7,36.1,34.7,29.4,25.6,46.1,45.5,34.3,31.7,34.9,30.9,64.2,3
29,Temple,A10,30,23–7,113,96.2,0.8647,53.2,48.6,17.9,19.4,31.3,31.4,34.3,33.4,50.3,47.8,39.9,33.7,31.2,28.6,67.3,4.2
30,Purdue,B10,33,21–12,115,98,0.8619,51.2,50.5,13.4,19.8,32,30.8,34.1,34.2,47.9,49.1,37.7,35.6,37.6,33.2,65.5,1.8
31,Gonzaga,WCC,31,25–6,110.6,94.3,0.8612,53.4,46.6,19.9,19.6,34.8,27.8,47,26.5,51.9,46.5,37.6,31.2,32.3,33.8,66.2,2.1
32,Connecticut,BE,33,20–13,110.3,94.3,0.8576,50.2,44.4,19.3,16.9,36.8,34.6,34.4,24.9,50.5,40.5,33.1,34.3,29.2,35.2,64.2,0.47
33,Belmont,ASun,33,26–7,115.2,98.6,0.856,55.7,47.8,17.6,20.7,34.6,31.9,39.2,35.8,54.7,46.6,38.1,33.7,39.9,30.9,68.1,0.9
34,Iowa St.,B12,32,22–10,111.2,95.3,0.8553,52.9,48.3,18.5,17.6,32.2,26.3,38.7,25.7,50,49.9,38,29.8,42.2,31.7,67.2,1.9
35,Creighton,MVC,33,28–5,118.4,101.8,0.8504,58.3,49.3,18.1,15.3,31.6,26.1,39.2,29.4,55.5,47.5,42.5,35.6,35,30.9,67.4,4.8
36,West Virginia,BE,32,19–13,110.9,95.5,0.848,48.7,49.4,19.3,20.3,41.2,30.3,38.1,31.2,50.1,50.2,30.2,31.7,30.3,30.4,65.5,-0.2
37,Harvard,Ivy,29,25–4,106.9,92.6,0.8399,52.5,44.9,20.5,19.8,30.9,26.7,42.7,29.1,52.2,42.9,35.5,33.6,34.4,26.8,61.2,2.3
38,La Salle,A10,33,21–12,107.3,93,0.8379,53.2,45.8,18.6,22.7,27.3,33.8,30,34.6,49.4,45,40.4,32,34.1,27.3,68.6,-2
39,Texas,B12,33,20–13,110.9,96.2,0.8368,48.7,46.9,18.7,20.3,38.9,34.6,43.1,41.9,48.6,44.2,32.7,35.3,31.1,30.8,65.7,0.8
40,N.C. State,ACC,34,22–12,111.4,96.9,0.8338,50.9,47.4,18.8,18.4,35.8,30.8,36,32.4,50.1,45.7,35.5,33.8,26.1,33,68.1,0.45
41,Saint Mary's,WCC,30,25–5,112,97.7,0.8275,53.6,48.4,18.1,18.5,36,26.3,39.6,29,54.7,45.9,34.4,36.8,38.5,26.8,64.5,2.9
42,Stanford,P12,32,21–11,105.1,91.8,0.827,50,47,20.4,21.6,35.7,27.6,37.1,38.8,47.4,45.6,37,33.4,32.4,30.3,67,-1.4
43,VCU,CAA,34,28–6,106.1,93,0.8207,47.6,47.1,17.4,27.3,33.8,34,37.3,37.9,45.6,46.9,33.7,31.8,38.8,30.4,66.1,2.3
44,Miami FL,ACC,31,19–12,109.9,96.3,0.82,49.8,47.5,17.6,19.7,32.6,32.7,33.9,33.3,47.9,46.6,35.4,32.9,37.6,34.4,64.4,-0.2
45,Murray St.,OVC,28,27–1,108.1,94.8,0.8184,54.7,46.1,20.9,24,34.7,34.8,46.4,35.1,51.3,46.7,40.7,29.5,35.2,27.1,66.1,3.9
46,BYU,WCC,31,23–8,105.4,92.5,0.8183,52.3,47.5,17.8,21.5,30.4,26.6,36.7,35,52.3,47.6,34.8,31.5,32.6,36.3,72.7,0.42
47,St. Bonaventure,A10,31,20–11,108.8,96.1,0.8068,51,46.9,21.5,19,36.3,29.6,42.8,37.6,50.9,46.1,34.1,32.4,30.1,32.9,64.5,-1
48,Long Beach St.,BW,31,23–8,108.2,95.7,0.8033,52.6,47.4,19,21.7,34.2,31.6,43.4,27.3,52,45.7,35.8,34.2,33.6,31.8,67.2,1
49,Middle Tennessee,SB,30,24–6,105.8,93.7,0.8025,53.8,44.3,21,22.8,35,34,47.2,41.6,53.2,43.1,37.1,31.4,24.9,31.7,65.8,0.8
50,Seton Hall,BE,32,20–12,105.1,93.1,0.8005,49.9,46.5,18.9,21.7,32.7,29.5,32.3,35,47.8,46.8,35.9,30.6,34.7,34.6,65.9,0.16
51,Mississippi St.,SEC,32,21–11,111,98.6,0.7959,51.7,48.8,18,16.1,32,27.7,32.6,23.8,50.8,47.2,35.5,35,34.5,30.7,65.6,-0.5
52,Wyoming,MWC,29,18–11,102.5,91.1,0.795,51.1,46.5,18.8,22.9,24.4,26.9,37,36,51.1,46.5,34.1,31,38.4,32.7,60.4,-2.9
53,Saint Joseph's,A10,33,20–13,109.3,97.2,0.7947,53.2,45.7,18.9,15.6,30,31.7,36.1,27.4,52.4,42.1,36.6,35.7,33.2,31.7,66,-1.7
54,Northwestern,B10,31,18–13,114.6,102,0.7921,53.7,51.6,16,20,26.2,35.9,34.4,29.9,50.5,50.5,38.6,35.7,43.9,35.5,63.5,0.07
55,Xavier,A10,33,21–12,106.3,94.7,0.792,49.6,45.3,18.6,18.6,31.6,30.1,40.8,36.4,48.7,44.9,34.9,30.6,25.2,35.7,67.9,0.7
56,Pittsburgh,BE,33,17–16,112.5,100.2,0.7899,50.5,49.6,21.3,17.9,42.1,31.4,32.6,32.7,50.4,49.4,33.8,33.4,32.3,32.3,63.4,-3
57,Notre Dame,BE,33,22–11,108,96.3,0.7898,49.2,45.5,16,17.3,30.7,32.1,37.9,24.7,49.1,45.1,32.9,31,36.8,28.1,62.2,2.2
58,Drexel,CAA,33,27–6,106.1,94.6,0.7893,49.6,42.8,19.2,18.2,33.7,26.1,39.3,37.9,46.3,43,37.6,28.2,32.3,30.7,61.3,1.2
59,UCLA,P12,32,18–14,107.6,96,0.7879,50.5,47.8,18.2,21.1,33,29.6,32.4,34.2,48.7,44.4,37.4,36.9,24.1,31,65.4,-3.6
60,Davidson,SC,31,24–7,110.9,99,0.7861,51.3,47.4,17.2,17.6,35.1,26.7,36.7,40.8,51.5,46,34,34,38.5,27.8,68.4,-0.32
61,Arizona,P12,34,23–11,105.8,94.6,0.7833,51.2,44.8,19,18,30.9,29.9,44.7,32.4,47.8,46,38,28.1,37.6,30.3,65.4,0.31
62,Southern Miss,CUSA,31,23–8,110.2,98.7,0.7821,46.3,50.4,16.4,21.3,36.6,28.5,40.2,39.6,43.3,48.8,35.5,36.1,30,30.2,64.7,1.3
63,Minnesota,B10,33,19–14,107.6,96.3,0.7812,51.3,47.6,22,19.8,36.4,31.9,39.2,37.7,50.2,44.8,36.1,35,29.8,36.4,64,-1.1
64,Ohio,MAC,33,26–7,104.2,93.4,0.7795,49,47.2,19.6,26.5,35.1,33.6,36.6,43.5,48.4,48.2,33.3,30.3,38.1,35.5,67.3,0.45
65,South Florida,BE,32,19–13,101.4,90.9,0.7789,48.2,44.3,22.8,18.7,34.2,31,34.2,31.8,48.9,43.5,31.1,30.6,30.3,32.4,59.8,0.01
66,Iona,MAAC,32,25–7,113.6,102.1,0.7744,56.7,51.1,17.2,22.2,32.6,32.5,31,28.7,55.7,50,39.3,35.4,32.1,34.2,70.9,0.19
67,San Diego St.,MWC,31,24–7,104.9,94.2,0.774,50.3,46.6,18.9,18.7,31.3,27.2,36.2,28.5,50.2,44.4,33.7,33.7,29.7,36.1,66.6,2.9
68,Dayton,A10,32,20–12,111.4,100.2,0.7727,50.8,49.7,19.9,19.6,36.2,31,33.7,37.7,50.3,49.5,34.4,33.3,40.1,31.3,65.3,-1.6
69,Oregon,P12,31,22–9,110.4,99.3,0.7721,52.6,48.7,19.8,18.9,33.2,31,37.9,30.8,51,48,37.1,33.5,34.9,30.3,67.5,0.9
70,Washington,P12,31,21–10,107.7,96.9,0.7703,49.7,47.2,18.6,19.3,38.4,31.1,36.6,39.1,49,46,34.2,33.3,28.4,29.6,70.6,0.25
71,Villanova,BE,32,13–19,108.9,98.1,0.768,46.5,47.5,20.4,17.2,37.6,32,39.2,34.7,46.2,45.5,31.5,34,33.7,35.8,68.3,-5.2
72,Tennessee,SEC,31,17–14,105.2,94.8,0.7679,49.8,46.5,21,18,34.1,30.1,37.6,35.6,48.4,44.2,34.9,34.9,35.6,28.2,64.8,-1.4
73,South Dakota St.,Sum,32,25–7,111.7,100.7,0.767,53.8,49.9,15.6,19.2,30.5,28.2,39.9,29.5,50.7,50.5,39.3,32.4,37.1,31.5,66.3,-0.41
74,Colorado,P12,32,21–11,104.2,94.2,0.7615,49.3,47,19.2,18.7,29.3,28.5,43,32.5,48.5,45.8,34.1,32.9,31.6,34.5,65.9,-0.28
75,Denver,SB,31,22–9,109.1,98.7,0.7605,57.3,48.4,19.5,23.6,23.5,32.6,35.2,40.6,55.5,46.2,39.8,36.3,42.9,25.8,61.3,-3
76,Illinois,B10,32,17–15,102.8,93.1,0.758,49.4,49.2,20.6,20.4,31.3,29.1,30.4,36.2,51.4,45.4,30.4,38,35.1,33.1,65.3,-1.2
77,Oregon St.,P12,32,18–14,110.1,100.1,0.7491,51.9,51.7,18.9,23,33.8,33.9,44,39.8,51.1,48.9,35.7,38.8,29.6,29.5,71.1,-3.9
78,Virginia Tech,ACC,33,16–17,105.7,96.4,0.7425,47.7,46.1,18.7,19.8,33.2,33.9,33.3,35.7,44.5,48,36.5,28,31.3,31.5,63.1,-4.7
79,Massachusetts,A10,33,22–11,104.2,95.2,0.7395,49.7,46.4,20,22.4,34.1,33.5,33.4,38.2,47.7,46.2,35.5,31.3,36,35.2,74.1,-0.8
80,Cleveland St.,Horz,31,21–10,103.6,94.8,0.7362,50.9,46.6,21.6,25.5,34.6,34.4,27.7,49.9,49,46.4,36.5,31.4,33.6,32.4,64.6,-2.1
81,Mississippi,SEC,33,20–13,102.4,93.8,0.7336,46.8,46,21.3,19.7,35.8,32.7,43,33.1,46.9,43.3,31.1,33.8,24.5,36.2,66.4,-0.28
82,Northern Iowa,MVC,31,18–13,104.6,95.8,0.7333,50.5,50,17.8,19.5,24.3,26.1,34.8,27.6,45.6,48.1,38.7,35.7,39.6,33.9,62.7,-2.6
83,LSU,SEC,32,18–14,100.2,91.8,0.7323,44.9,46.2,19.2,22.2,34.5,31.4,29.6,36.8,43.5,46,32.5,31.3,27.1,30.8,66,-2.3
